color1,color2,color3,color4,color5
tan,black,darkslategray,gainsboro,gray
sienna,tan,black,saddlebrown,rosybrown
silver,black,tan,darkslategray,gray
darkolivegreen,tan,black,gray,darkslategray
tan,saddlebrown,black,coral,maroon
tan,black,rosybrown,sienna,wheat
tan,darkslategray,gray,black,dimgray
tan,sienna,peru,saddlebrown,sandybrown
tan,saddlebrown,peru,black,saddlebrown
darkslategray,tan,brown,indianred,peru
tan,darkslategray,sienna,dimgray,rosybrown
antiquewhite,sienna,maroon,peru,tan
black,tan,gray,slategray,darkolivegreen
tan,darkslategray,black,slategray,lightsteelblue
darkslategray,tan,darkolivegreen,gainsboro,gray
sienna,tan,darkslategray,saddlebrown,peru
darkslategray,tan,indianred,thistle,lightslategray
tan,black,saddlebrown,indianred,black
darkslategray,tan,gainsboro,gray,silver
tan,rosybrown,black,gainsboro,dimgray
gray,black,darkolivegreen,beige,tan
tan,black,dimgray,darkslategray,rosybrown
tan,black,gray,dimgray,rosybrown
tan,darkslateblue,darkslategray,cadetblue,gainsboro
black,tan,darkolivegreen,darkslategray,gray
black,tan,crimson,saddlebrown,sienna
tan,maroon,crimson,sienna,black
tan,sienna,black,gray,bisque
lavender,darkslategray,tan,black,gray
tan,black,sienna,darksalmon,darkolivegreen
tan,maroon,saddlebrown,saddlebrown,black
tan,black,linen,gray,darkslategray
tan,darkslategray,peru,black,saddlebrown
black,tan,slategray,sienna,darkslategray
tan,whitesmoke,darkolivegreen,gray,lightgray
peru,tan,saddlebrown,linen,black
gray,darkslategray,tan,black,dimgray
tan,black,dimgray,darkslategray,darkgray
tan,dimgray,gray,darkslategray,rosybrown
tan,black,sienna,rosybrown,darkslategray
lightslategray,tan,black,dimgray,gainsboro
tan,darkslategray,dimgray,darkgray,silver
tan,darkslategray,gray,black,gainsboro
tan,darkslategray,gray,lightslategray,dimgray
black,tan,sienna,gainsboro,rosybrown
tan,black,sienna,darkolivegreen,darksalmon
tan,darkslategray,dimgray,rosybrown,black
tan,black,pink,gray,thistle
tan,darkslateblue,darkolivegreen,rosybrown,darkslategray
tan,darkslategray,lavender,peru,sienna
tan,black,rosybrown,gray,darkgray
tan,dimgray,darkslategray,lightgray,gray
wheat,sienna,tan,darkslategray,rosybrown
tan,sienna,saddlebrown,gray,black
peru,tan,darkslategray,darkolivegreen,black
lavender,darkolivegreen,tan,dimgray,gray
saddlebrown,tan,peru,saddlebrown,darksalmon
black,tan,rosybrown,lightsteelblue,darkolivegreen
lightgray,darkslategray,darkslategray,gray,tan
tan,black,gray,darkolivegreen,rosybrown
tan,sienna,rosybrown,lightgray,black
tan,dimgray,gainsboro,black,rosybrown
tan,black,dimgray,rosybrown,darkslategray
black,tan,dimgray,darkslategray,gray
tan,black,dimgray,darkslategray,gray
tan,black,gray,dimgray,darkslategray
tan,dimgray,lightgray,darkslategray,darkgray
tan,sienna,peru,saddlebrown,darkslategray
darksalmon,lightgray,indianred,darkslategray,tan
dimgray,tan,black,rosybrown,darkslategray
tan,steelblue,saddlebrown,indianred,black
tan,black,darkolivegreen,dimgray,black
tan,black,cornflowerblue,dimgray,darkslategray
tan,black,gainsboro,darkolivegreen,rosybrown
tan,black,saddlebrown,peru,lightgray
tan,black,saddlebrown,gray,darkslategray
tan,black,bisque,rosybrown,darkslategray
dimgray,tan,black,darkolivegreen,rosybrown
tan,darkslategray,gray,black,gainsboro
tan,darkslategray,gray,gainsboro,darkolivegreen
dimgray,tan,darkslategray,darkolivegreen,black
tan,darkslategray,peru,lightslategray,silver
darksalmon,tan,black,saddlebrown,sienna
dimgray,tan,lightslategray,darkslategray,rosybrown
tan,firebrick,indianred,crimson,maroon
black,tan,dimgray,gray,lightsteelblue
tan,darkslategray,lightslategray,sienna,lightgray
tan,dimgray,gainsboro,darkslategray,darkgray
black,tan,dimgray,darkolivegreen,rosybrown
